category_1,category_2,category_3,ofns_desc,law_cat_cd,pd_desc
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE,SALE 1"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE,SALE 2"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE,SALE 3"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"DRUG PARAPHERNALIA, POSSESSE"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"DRUG, INJECTION OF"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"MARIJUANA, POSSESSION 1, 2 & 3"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"MARIJUANA, SALE 1, 2 & 3"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,SALE SCHOOL GROUNDS
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,SALE SCHOOL GROUNDS 4
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,SALES OF PRESCRIPTION
Drug,Drug,Drug,DANGEROUS DRUGS,MISDEMEANOR,"CONTROLLED SUBSTANCE, POSSESSI"
Drug,Drug,Drug,DANGEROUS DRUGS,MISDEMEANOR,"DRUG PARAPHERNALIA, POSSESSE"
Drug,Drug,Drug,DANGEROUS DRUGS,MISDEMEANOR,"MARIJUANA, POSSESSION 4 & 5"
Drug,Drug,Drug,DANGEROUS DRUGS,MISDEMEANOR,"MARIJUANA, SALE 4 & 5"
Drug,Drug,Drug,DANGEROUS DRUGS,MISDEMEANOR,POSS METH MANUFACT MATERIAL
Drug,Drug,Drug,DANGEROUS DRUGS,MISDEMEANOR,POSSESSION HYPODERMIC INSTRUME
Property,White Collar,Counterfeiting,FORGERY,FELONY,"FORGERY,DRIVERS LICENSE"
Property,White Collar,Counterfeiting,FORGERY,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Property,White Collar,Counterfeiting,FORGERY,FELONY,"FORGERY,M.V. REGISTRATION"
Property,White Collar,Counterfeiting,FORGERY,FELONY,"FORGERY,PRESCRIPTION"
Property,White Collar,Counterfeiting,MISCELLANEOUS PENAL LAW,FELONY,"FORGERY-ILLEGAL POSSESSION,VEH"
Property,White Collar,Fraud,THEFT-FRAUD,FELONY,COMPUTER TAMPER/TRESSPASS
Property,White Collar,Fraud,THEFT-FRAUD,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Property,White Collar,Fraud,THEFT-FRAUD,FELONY,MONEY LAUNDERING 1 & 2
Property,White Collar,Fraud,THEFT-FRAUD,FELONY,"THEFT,RELATED OFFENSES,UNCLASS"
Property,White Collar,Fraud,FRAUDS,MISDEMEANOR,"CHECK,BAD"
Property,White Collar,Fraud,FRAUDS,MISDEMEANOR,COMPUTER UNAUTH. USE/TAMPER
Property,White Collar,Fraud,FRAUDS,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Property,White Collar,Fraud,MISCELLANEOUS PENAL LAW,FELONY,"IMPERSONATION 1, POLICE OFFICE"
Property,White Collar,Fraud,FRAUDS,MISDEMEANOR,"IMPERSONATION 2, PUBLIC SERVAN"
Property,White Collar,Fraud,OFFENSES INVOLVING FRAUD,MISDEMEANOR,"BRIBERY,COMMERCIAL"
Property,White Collar,Fraud,OFFENSES INVOLVING FRAUD,MISDEMEANOR,"FORGERY,ETC.-MISD."
Property,White Collar,Fraud,OFFENSES INVOLVING FRAUD,MISDEMEANOR,"RECORDS,FALSIFY-TAMPER"
Gambling,Gambling,Gambling,GAMBLING,FELONY,"GAMBLING 1,PROMOTING,BOOKMAKIN"
Gambling,Gambling,Gambling,GAMBLING,FELONY,"GAMBLING 1,PROMOTING,POLICY"
Gambling,Gambling,Gambling,GAMBLING,MISDEMEANOR,"GAMBLING 2, PROMOTING, BOOKMAK"
Gambling,Gambling,Gambling,GAMBLING,MISDEMEANOR,"GAMBLING 2, PROMOTING, POLICY-"
Gambling,Gambling,Gambling,GAMBLING,MISDEMEANOR,"GAMBLING 2,PROMOTING,UNCLASSIF"
Gambling,Gambling,Gambling,GAMBLING,MISDEMEANOR,"GAMBLING, DEVICE, POSSESSION"
